timestamp,phase,battery_v,x_m,y_m,z_m
1776993969.4643688,takeoff,3.932551383972168,-0.003237155731767416,0.009882963262498379,0.004411106929183006
1776993969.5694551,takeoff,3.969501495361328,-0.005749461706727743,0.014018498361110687,0.0036661545746028423
1776993969.671743,takeoff,3.9747800827026367,-0.008205929771065712,0.018885640427470207,0.001755982986651361
1776993969.7768,takeoff,3.9800586700439453,-0.012183737009763718,0.003004280151799321,0.0019181767711415887
1776993969.881022,takeoff,3.9800586700439453,-0.010722769424319267,-0.00863651279360056,0.0016021771589294076
1776993969.986398,takeoff,3.9747800827026367,-0.01809919811785221,-0.012840550392866135,0.000985324732027948
1776993970.087382,takeoff,3.9747800827026367,-0.031164931133389473,0.0006230957806110382,0.0015160335460677743
1776993970.1924858,takeoff,3.9747800827026367,-0.030706558376550674,0.0012167395325377584,0.0017664137994870543
1776993970.294836,takeoff,3.969501495361328,-0.03327351063489914,0.0005450114258565009,0.0027601043693721294
1776993970.399602,takeoff,3.9642229080200195,-0.028612149879336357,0.0035091869067400694,0.0008342214860022068
1776993970.503573,takeoff,3.9536657333374023,-0.025443466380238533,0.0036916472017765045,0.0012583463685587049
1776993970.608657,takeoff,3.9483871459960938,-0.014981381595134735,-0.016881978139281273,0.002079668454825878
1776993970.7106078,takeoff,3.943108558654785,-0.011760296300053596,-0.02081231214106083,0.0012901554582640529
1776993970.812476,takeoff,3.932551383972168,-0.0031949442345649004,-0.016098838299512863,0.0013132988242432475
1776993970.9143522,takeoff,3.921994209289551,-0.007214084733277559,-0.011473431251943111,0.002547814976423979
1776993971.018229,takeoff,3.921994209289551,-0.002338804304599762,0.010784349404275417,0.004666131921112537
1776993971.1222441,takeoff,3.916715621948242,0.014238232746720314,0.028460003435611725,0.018777143210172653
1776993971.224628,takeoff,3.916715621948242,0.011950664222240448,0.03032619133591652,0.0393977090716362
1776993971.329906,takeoff,3.916715621948242,0.005619976203888655,0.02352653630077839,0.06701745092868805
1776993971.434996,takeoff,3.9114370346069336,-0.000948273460380733,0.011350744403898716,0.09347608685493469
1776993971.536992,takeoff,3.895601272583008,-0.006582273636013269,0.007063447032123804,0.10888464748859406
1776993971.6421812,takeoff,3.8850440979003906,-0.007869045250117779,0.0036093045491725206,0.12432132661342621
1776993971.744905,takeoff,3.879765510559082,-0.010180804878473282,0.007149468641728163,0.14632366597652435
1776993971.845597,takeoff,3.879765510559082,-0.011096310801804066,0.015866594389081,0.17722252011299133
1776993971.950837,takeoff,3.8850440979003906,-0.012754164636135101,0.02211456559598446,0.21357344090938568
1776993972.0555599,takeoff,3.8850440979003906,-0.01466420292854309,0.03464430198073387,0.2548064589500427
1776993972.157286,takeoff,3.8850440979003906,-0.014024981297552586,0.04351324960589409,0.30445757508277893
1776993972.259456,takeoff,3.890322685241699,-0.012234203517436981,0.04639723524451256,0.3601468503475189
1776993972.364556,takeoff,3.895601272583008,-0.01406982820481062,0.0410861037671566,0.42199617624282837
1776993972.4652932,takeoff,3.9008798599243164,-0.009129506535828114,0.029111027717590332,0.48528265953063965
1776993972.5703402,takeoff,3.9008798599243164,-0.007955691777169704,0.0197458453476429,0.5464231967926025
1776993972.6754181,takeoff,3.9114370346069336,-0.008310380391776562,0.00751405069604516,0.6047672629356384
1776993972.780501,takeoff,3.9008798599243164,-0.010920081287622452,0.010497474111616611,0.7003586292266846
1776993972.884557,takeoff,3.895601272583008,-0.01883862353861332,0.019303100183606148,0.7411339282989502
1776993972.985853,takeoff,3.895601272583008,-0.02759426459670067,0.037520632147789,0.7710393667221069
1776993973.089461,takeoff,3.906158447265625,-0.03460404649376869,0.05792750045657158,0.8022723197937012
