timestamp,phase,battery_v,x_m,y_m,z_m
1776993551.475447,takeoff,3.6158359050750732,0.007020207121968269,0.11753980070352554,-0.0007932034204714
1776993551.580506,takeoff,3.7002933025360107,0.007943404838442802,0.09986871480941772,-0.00011807292321464047
1776993551.6820202,takeoff,3.721407651901245,0.017995581030845642,0.10076974332332611,0.0020405054092407227
1776993551.786365,takeoff,3.721407651901245,0.026320604607462883,0.10311546921730042,0.002509538782760501
1776993551.886864,takeoff,3.7161290645599365,0.02439184859395027,0.11234165728092194,0.0017029143637046218
1776993551.987496,takeoff,3.710850477218628,0.027230771258473396,0.11053523421287537,0.0031082562636584044
1776993552.0916622,takeoff,3.710850477218628,0.021686503663659096,0.10857121646404266,0.005248711444437504
1776993552.194463,takeoff,3.7002933025360107,0.02062513306736946,0.09770623594522476,0.007730712182819843
1776993552.2977338,takeoff,3.6897361278533936,0.03306330740451813,0.1076686754822731,0.008990701287984848
1776993552.402081,takeoff,3.684457540512085,0.04544694721698761,0.12075112760066986,0.010275829583406448
1776993552.504684,takeoff,3.6791789531707764,0.057083114981651306,0.1302490234375,0.011718266643583775
1776993552.608976,takeoff,3.658064603805542,0.05001869052648544,0.13398905098438263,0.013924732804298401
1776993552.7120068,takeoff,3.621114492416382,0.044976357370615005,0.11462851613759995,0.02321619912981987
1776993552.814914,takeoff,3.6263930797576904,0.036149103194475174,0.09745809435844421,0.028325969353318214
1776993552.918398,takeoff,3.642228841781616,0.012881522066891193,0.06814870238304138,0.046499498188495636
1776993553.02176,takeoff,3.6369502544403076,0.00161226827185601,0.06799130141735077,0.08758137375116348
1776993553.126833,takeoff,3.642228841781616,-0.00014951433695387095,0.08623787760734558,0.117507204413414
1776993553.2307682,takeoff,3.621114492416382,0.0023396227043122053,0.11025208234786987,0.13883189857006073
1776993553.3358562,takeoff,3.621114492416382,0.00765488063916564,0.1387881636619568,0.1589147448539734
1776993553.4390569,takeoff,3.6158359050750732,0.011742349714040756,0.16720201075077057,0.18330062925815582
1776993553.544298,takeoff,3.6158359050750732,0.012013847008347511,0.19140329957008362,0.21470534801483154
1776993553.6452448,takeoff,3.621114492416382,0.006300940178334713,0.2053884118795395,0.24477499723434448
1776993553.745823,takeoff,3.621114492416382,0.0007804744527675211,0.21289248764514923,0.2775527834892273
1776993553.848286,takeoff,3.621114492416382,-0.0009462620364502072,0.21877950429916382,0.3110288679599762
1776993553.953108,takeoff,3.631671667098999,-0.0031939407344907522,0.2163657695055008,0.3447130024433136
1776993554.055423,takeoff,3.631671667098999,-0.0017585622845217586,0.21272553503513336,0.3789123296737671
1776993554.160514,takeoff,3.631671667098999,-0.004488593898713589,0.21246787905693054,0.4124366044998169
1776993554.2650518,takeoff,3.631671667098999,-0.0033851268235594034,0.21675801277160645,0.43720799684524536
1776993554.368819,hover,3.6158359050750732,-0.015828201547265053,0.21608862280845642,0.456284761428833
1776993554.469903,hover,3.621114492416382,-0.030057501047849655,0.2189548909664154,0.47152936458587646
1776993554.572638,hover,3.621114492416382,-0.04595409333705902,0.22361251711845398,0.4880501925945282
1776993554.67771,hover,3.6105573177337646,-0.04920375347137451,0.2317681461572647,0.4971022605895996
1776993554.782779,hover,3.621114492416382,-0.067782923579216,0.2318449318408966,0.508491039276123
1776993554.887842,hover,3.6105573177337646,-0.07566577941179276,0.21343986690044403,0.5281704664230347
1776993554.992883,hover,3.605278730392456,-0.08812195062637329,0.21912938356399536,0.5309864282608032
1776993555.096222,hover,3.6105573177337646,-0.08648594468832016,0.2153848558664322,0.5388748645782471
1776993555.196588,hover,3.6158359050750732,-0.07751281559467316,0.21709024906158447,0.5421672463417053
1776993555.300927,hover,3.621114492416382,-0.0694694072008133,0.21947957575321198,0.5484949946403503
1776993555.403584,hover,3.6158359050750732,-0.06616959720849991,0.22327594459056854,0.5514659285545349
1776993555.504079,hover,3.605278730392456,-0.06084075942635536,0.2298954725265503,0.5495005249977112
1776993555.60916,hover,3.605278730392456,-0.06204527989029884,0.235717311501503,0.5455774068832397
1776993555.714249,hover,3.6000001430511475,-0.062489792704582214,0.24262243509292603,0.5410604476928711
1776993555.815695,hover,3.594721555709839,-0.06833972036838531,0.24325892329216003,0.5355938673019409
1776993555.9207659,hover,3.6000001430511475,-0.07432648539543152,0.23855122923851013,0.5311098694801331
1776993556.025845,hover,3.605278730392456,-0.07632426172494888,0.23034973442554474,0.5267613530158997
1776993556.127156,hover,3.605278730392456,-0.08073945343494415,0.21207956969738007,0.5226131081581116
1776993556.23056,hover,3.621114492416382,-0.08253670483827591,0.2035459727048874,0.5171027779579163
1776993556.3356512,hover,3.6263930797576904,-0.08512599021196365,0.19119495153427124,0.5046631693840027
1776993556.437439,hover,3.631671667098999,-0.10293494910001755,0.19241507351398468,0.4880713224411011
